person_id,city,credit_card,transactions
1,CityE,7424678836308634,18
2,CityA,2975773095983479,16
3,CityD,5773549163477046,9
4,CityD,1720083605077561,12
5,CityD,7966138345726628,4
6,CityB,1623024322991935,18
7,CityD,7861483960135923,12
8,CityC,2781027284652121,8
9,CityE,4613607321388118,19
10,CityA,6623659781702878,5
11,CityA,8127225818552686,2
12,CityE,5798528065510485,2
13,CityC,9350879718050314,10
14,CityB,4375206730690428,8
15,CityA,4926293557103492,14
16,CityB,1745787700133886,8
17,CityB,8970380490515582,17
18,CityA,2023207138003706,10
19,CityB,8866649903424365,7
20,CityE,1287304309862791,18
21,CityD,3990327657549662,16
22,CityA,3717430671388579,17
23,CityD,6519113124399811,2
24,CityA,7284271049787299,12
25,CityC,8643060923446470,9
26,CityD,9554133431294327,10
27,CityA,6228115314190427,6
28,CityB,1258241787227594,11
29,CityD,4278580174971960,6
30,CityD,1426037008389134,4
31,CityD,6237705646333162,12
32,CityA,5139831770854619,12
33,CityB,3208929144390223,8
34,CityB,4946445882010782,17
35,CityB,5529948564231869,5
36,CityA,1453341721797178,16
37,CityC,4209738946808029,18
38,CityE,8196630512325099,8
39,CityD,1326021119292902,3
40,CityD,7152336077397100,10
41,CityC,1932161851633896,13
42,CityE,9442024768150309,2
43,CityC,1959893636046268,12
44,CityA,9113027452610513,19
45,CityA,8532679256587011,11
46,CityE,3234752374191638,12
47,CityA,5672874325619488,9
48,CityE,9103714518672831,14
49,CityB,3140938427343145,3
50,CityE,1331809149553037,7
51,CityB,7577374122274330,16
52,CityC,2109841762704477,18
53,CityC,3541960414215908,3
54,CityA,5167904941137237,4
55,CityB,2448176363416560,14
56,CityB,4551893254388671,12
57,CityB,9600992866711402,19
58,CityB,8767418760881624,10
59,CityD,1895499132389628,19
60,CityD,3980564858768709,12
61,CityC,9339599996651633,9
62,CityD,6130596996458607,6
63,CityA,1717667271715278,7
64,CityD,7718903054741428,10
65,CityE,9871223921524256,14
66,CityB,4178889332610860,2
67,CityC,4995328737278208,9
68,CityE,6830080175320935,6
69,CityD,1294730998380637,17
70,CityE,9738086194236162,18
71,CityE,1945980381261059,11
72,CityE,5655741135249616,15
73,CityD,4486826494727299,15
74,CityE,2799450624921815,8
75,CityE,7670454928207726,14
76,CityE,6119951735974401,16
77,CityA,6182759632550740,1
78,CityE,1959395112906334,17
79,CityD,2595125245708798,18
80,CityC,3382457573020731,10
81,CityA,9520281704474130,10
82,CityB,3515577140922276,13
83,CityB,9560271826909642,8
84,CityD,8484588846253685,13
85,CityA,3583614708091921,10
86,CityA,2069606135157279,6
87,CityB,6343879996061936,9
88,CityC,7423307031653342,17
89,CityE,2122105236629847,6
90,CityC,6205439230162777,10
91,CityA,5826619008198565,14
92,CityD,8708842764105268,5
93,CityC,5157477395455650,15
94,CityC,5576659990259049,7
95,CityA,7623722456106449,6
96,CityB,5892618587690038,11
97,CityA,2501133329834433,1
98,CityC,6080177619566705,18
99,CityC,2313259644459363,5
100,CityD,6578330522361809,3
101,CityC,7531876449005186,10
102,CityD,8378908637202314,9
103,CityC,4707687546092108,17
