city,person_id,credit_card,transactions
CityA,person_0,cc_4975,5
CityC,person_1,cc_8298,75
CityA,person_2,cc_8055,7
CityD,person_3,cc_7667,22
CityA,person_4,cc_7299,97
CityA,person_5,cc_8020,39
CityB,person_6,cc_5751,98
CityD,person_7,cc_21,62
CityD,person_8,cc_2638,25
CityD,person_9,cc_4153,24
CityA,person_10,cc_4141,34
CityB,person_11,cc_9492,75
CityB,person_12,cc_5413,47
CityB,person_13,cc_6044,55
CityC,person_14,cc_2627,89
CityA,person_15,cc_8897,40
CityB,person_16,cc_149,64
CityA,person_17,cc_3755,16
CityA,person_18,cc_4007,34
CityC,person_19,cc_539,31
CityC,person_20,cc_4500,62
CityD,person_21,cc_3650,39
CityB,person_22,cc_2149,18
CityA,person_23,cc_6361,19
CityA,person_24,cc_7428,65
CityB,person_25,cc_2512,38
CityD,person_26,cc_2168,72
CityC,person_27,cc_5130,82
CityA,person_28,cc_1894,39
CityA,person_29,cc_1187,51
CityA,person_30,cc_3019,88
CityA,person_31,cc_98,95
CityC,person_32,cc_3412,10
CityB,person_33,cc_5169,94
CityB,person_34,cc_5955,28
CityB,person_35,cc_3267,95
CityB,person_36,cc_9669,12
CityC,person_37,cc_1644,71
CityA,person_38,cc_4037,34
CityB,person_39,cc_1717,10
CityC,person_40,cc_8014,87
CityA,person_41,cc_4921,78
CityA,person_42,cc_8601,85
CityB,person_43,cc_7424,88
CityC,person_44,cc_6424,87
CityD,person_45,cc_6034,86
CityC,person_46,cc_5274,91
CityD,person_47,cc_3546,8
CityD,person_48,cc_6643,49
CityA,person_49,cc_1907,20
CityD,person_50,cc_5563,35
CityC,person_51,cc_7917,44
CityD,person_52,cc_8418,11
CityD,person_53,cc_1340,96
CityB,person_54,cc_4877,10
CityC,person_55,cc_323,16
CityB,person_56,cc_5503,77
CityB,person_57,cc_2090,81
CityA,person_58,cc_224,1
CityA,person_59,cc_3323,86
CityD,person_60,cc_4471,92
CityB,person_61,cc_1451,86
CityA,person_62,cc_3228,16
CityD,person_63,cc_4892,17
