city,person_id,credit_card,transactions
CityD,person_0,card_8261,56
CityC,person_1,card_23399,92
CityA,person_2,card_3304,20
CityA,person_3,card_13896,64
CityD,person_4,card_12463,9
CityA,person_5,card_42956,9
CityD,person_6,card_48071,4
CityC,person_7,card_10321,2
CityA,person_8,card_40416,28
CityB,person_9,card_21016,23
CityA,person_10,card_27060,45
CityA,person_11,card_20888,4
CityD,person_12,card_36529,95
CityD,person_13,card_3361,56
CityC,person_14,card_43060,70
CityA,person_15,card_29596,9
CityD,person_16,card_8747,67
CityC,person_17,card_22833,77
CityB,person_18,card_13129,61
CityB,person_19,card_41186,97
CityA,person_20,card_18122,82
CityC,person_21,card_9574,56
CityB,person_22,card_10582,70
CityB,person_23,card_17402,4
CityC,person_24,card_42020,54
CityD,person_25,card_31330,75
CityD,person_26,card_31739,4
CityD,person_27,card_27699,19
CityB,person_28,card_13133,79
CityA,person_29,card_23692,97
CityA,person_30,card_37058,9
CityC,person_31,card_40116,9
CityD,person_32,card_46816,42
CityB,person_33,card_16311,28
CityC,person_34,card_17310,24
CityD,person_35,card_6866,40
CityB,person_36,card_23644,89
CityD,person_37,card_22807,32
CityA,person_38,card_2056,13
CityC,person_39,card_43308,69
CityC,person_40,card_31018,38
CityD,person_41,card_35858,19
CityC,person_42,card_30232,58
CityB,person_43,card_30801,71
CityB,person_44,card_49544,63
CityD,person_45,card_49783,82
CityB,person_46,card_28545,13
CityD,person_47,card_38519,79
CityD,person_48,card_1989,74
CityC,person_49,card_7483,1
CityD,person_50,card_11484,5
CityC,person_51,card_19434,94
CityC,person_52,card_31408,84
CityB,person_53,card_5480,81
CityD,person_54,card_13617,78
CityC,person_55,card_30425,32
CityB,person_56,card_32695,76
CityC,person_57,card_7683,56
CityA,person_58,card_36559,85
CityA,person_59,card_12087,44
CityC,person_60,card_20200,54
CityA,person_61,card_15782,10
CityC,person_62,card_2338,78
CityD,person_63,card_29744,99
CityA,person_64,card_45429,73
CityD,person_65,card_24467,93
CityA,person_66,card_11838,56
CityD,person_67,card_12378,70
CityA,person_68,card_16522,82
CityC,person_69,card_19035,36
CityD,person_70,card_37181,25
CityC,person_71,card_9732,47
CityB,person_72,card_18724,92
